Industry,Nov-21,Nov-21,May-21,May-21,Nov-20,Nov-20,May-20,May-20,Nov-19,Nov-19,May-19,May-19,Nov-18,Nov-18
Mining,2724.90,2306.30,2748.70,2276.80,2695.90,2295.80,2695.90,2295.80,2668.00,2302.00,2617.00,2286.00,2761.00,2093.00
Manufacturing,1601.50,1394.90,1608.80,1394.40,1599.10,1397.80,1599.10,1397.80,1504.00,1349.00,1471.00,1310.00,1448.00,1086.00
"Electricity, gas, water & waste services",2007.60,1850.80,1941.20,1793.20,1986.80,1790.00,1986.80,1790.00,1940.00,1732.00,1924.00,1703.00,1997.00,1518.00
Construction,1776.20,1468.00,1733.70,1445.10,1668.00,1394.40,1668.00,1394.40,1683.00,1389.00,1614.00,1397.00,1516.00,1003.00
Wholesale trade,1720.40,1441.60,1707.10,1451.80,1641.50,1427.30,1641.50,1427.30,1654.00,1386.00,1637.00,1390.00,1540.00,1127.00
Retail trade,1373.80,1231.60,1376.20,1227.90,1336.50,1220.40,1336.50,1220.40,1291.00,1181.00,1219.00,1172.00,868.00,670.00
Accommodation & food services,1276.10,1133.10,1252.60,1121.40,1217.00,1078.80,1217.00,1078.80,1220.00,1121.00,1207.00,1097.00,631.00,480.00
"Transport, postal & warehousing",1737.60,1497.70,1754.00,1487.50,1733.40,1494.30,1733.40,1494.30,1707.00,1436.00,1670.00,1410.00,1646.00,1098.00
Information media & telecommunications,2310.20,1941.00,2231.90,1860.50,2158.10,1812.20,2158.10,1812.20,2121.00,1757.00,2120.00,1758.00,1877.00,1437.00
Financial & insurance services,2333.30,1852.80,2319.70,1759.70,2272.60,1736.50,2272.60,1736.50,2177.00,1694.00,2237.00,1691.00,2082.00,1335.00
"Rental, hiring & real estate services",1734.30,1396.00,1737.70,1406.10,1677.90,1346.70,1677.90,1346.70,1585.00,1296.00,1560.00,1255.00,1395.00,932.00
"Professional, scientific & technical services",2266.90,1713.50,2255.00,1684.10,2201.00,1663.30,2201.00,1663.30,2067.00,1610.00,2122.00,1606.00,1872.00,1317.00
Administrative & support services,1598.10,1378.30,1604.50,1367.50,1629.40,1384.20,1629.40,1384.20,1665.00,1392.00,1646.00,1377.00,1248.00,902.00
Public administration & safety,1962.80,1796.20,1904.40,1765.30,1874.30,1757.10,1874.30,1757.10,1799.00,1697.00,1748.00,1662.00,1642.00,1374.00
Education & training,2016.80,1797.20,2002.70,1773.50,1994.20,1759.50,1994.20,1759.50,1948.00,1715.00,1909.00,1690.00,1395.00,1104.00
Health care & social assistance,1989.50,1563.40,1978.00,1569.50,1969.00,1552.30,1969.00,1552.30,1886.00,1466.00,1886.00,1435.00,1454.00,1008.00
Arts & recreation services,1593.50,1456.00,1609.20,1434.80,1517.80,1375.60,1517.80,1375.60,1629.00,1393.00,1707.00,1370.00,1060.00,746.00
Other services,1344.70,1296.70,1336.40,1324.60,1314.00,1339.00,1314.00,1339.00,1295.00,1242.00,1283.00,1238.00,1179.00,772.00
Total all industries,1846.50,1591.20,1837.00,1575.50,1804.20,1562.00,1804.20,1562.00,1751.00,1508.00,1728.00,1486.00,1461.00,996.00
