Level,ANZSIC 06 Code,Industry,Employment level - November 2021 ('000),Projected employment level - November 2026 ('000),Projected employment growth - five years to November 2026 ('000),Projected employment growth - five years to November 2026 (%)
,,,,,,
,,,,,,
1,A,"Agriculture, Forestry and Fishing",316.1,332.2,16.2,5.1
1,B,Mining,271.3,287.3,15.9,5.9
1,C,Manufacturing,864.3,887.3,23.1,2.7
1,D,"Electricity, Gas, Water and Waste Services",134.1,136.7,2.6,1.9
1,E,Construction,1143.6,1210.0,66.4,5.8
1,F,Wholesale Trade,359.0,365.6,6.6,1.8
1,G,Retail Trade,1281.3,1336.4,55.1,4.3
1,H,Accommodation and Food Services,849.5,961.9,112.4,13.2
1,I,"Transport, Postal and Warehousing",655.3,695.2,39.9,6.1
1,J,Information Media and Telecommunications,192.5,193.2,0.7,0.4
1,K,Financial and Insurance Services,528.4,561.6,33.2,6.3
1,L,"Rental, Hiring and Real Estate Services",235.5,250.5,14.9,6.3
1,M,"Professional, Scientific and Technical Services",1226.6,1433.3,206.6,16.8
1,N,Administrative and Support Services,448.3,477.1,28.8,6.4
1,O,Public Administration and Safety,921.7,980.8,59.2,6.4
1,P,Education and Training,1115.6,1265.2,149.6,13.4
1,Q,Health Care and Social Assistance,1900.1,2201.1,301.0,15.8
1,R,Arts and Recreation Services,234.3,258.0,23.7,10.1
1,S,Other Services,543.8,564.1,20.3,3.7
0,,ALL INDUSTRIES,"12,951.8","14,128.0",1176.2,9.1
,,,,,,
Updated on:,,9/03/2022,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
