Industry,Year ending Feb 2020,Year ending Feb 2021
Accommodation and food services,10.1,12.4
Retail trade,9.8,10.9
Health care and social assistance,10.8,9.5
"Professional, scientific and technical services",9.2,8.3
Construction,10.3,7.7
Education and training,4.9,5.7
Manufacturing,6.4,5.1
Public administration and safety,3.6,4.8
"Transport, postal and warehousing",4.3,4.4
Administrative and support services,3.7,4
Other services,2.9,3.2
Financial and insurance services,3.2,2.9
Mining,2.1,2.7
Wholesale trade,2.7,2.1
Information media and telecommunications,1.3,1.8
Arts and recreation services,1.7,1.7
"Rental, hiring and real estate services",2.2,1.4
"Agriculture, forestry and fishing",1.2,0.9
"Electricity, gas, water and waste services",0.8,0.7
Not working at the start of the year,9,9.8
,,
"Source: Australian Bureau of Statistics, Job mobility February 2021",,
